start,length,bound,cost,expended,algorithm
"(2, 12, 5, 14, 6, 15, 11, 8, 10, 3, 7, 9, 13, 1, 4)",15,70,70,75486,DFBnB
"(2, 12, 5, 14, 6, 15, 11, 8, 10, 3, 7, 9, 13, 1, 4)",15,60,60,5655,DFBnB
"(2, 12, 5, 14, 6, 15, 11, 8, 10, 3, 7, 9, 13, 1, 4)",15,50,50,98415,DFBnB
"(2, 12, 5, 14, 6, 15, 11, 8, 10, 3, 7, 9, 13, 1, 4)",15,40,40,238524,DFBnB
"(2, 12, 5, 14, 6, 15, 11, 8, 10, 3, 7, 9, 13, 1, 4)",15,30,30,81018,DFBnB
"(10, 9, 4, 12, 6, 11, 1, 15, 14, 7, 8, 3, 2, 13, 5)",15,0,13,243829,IDA*
"(10, 9, 4, 12, 6, 11, 1, 15, 14, 7, 8, 3, 2, 13, 5)",15,70,70,34074,DFBnB
"(10, 9, 4, 12, 6, 11, 1, 15, 14, 7, 8, 3, 2, 13, 5)",15,60,60,28906,DFBnB
"(10, 9, 4, 12, 6, 11, 1, 15, 14, 7, 8, 3, 2, 13, 5)",15,50,50,112153,DFBnB
"(10, 9, 4, 12, 6, 11, 1, 15, 14, 7, 8, 3, 2, 13, 5)",15,40,40,685,DFBnB
"(10, 9, 4, 12, 6, 11, 1, 15, 14, 7, 8, 3, 2, 13, 5)",15,30,30,42100,DFBnB
"(1, 2, 12, 7, 5, 10, 3, 14, 6, 9, 11, 4, 13, 8, 15)",15,0,14,4072,IDA*
"(1, 2, 12, 7, 5, 10, 3, 14, 6, 9, 11, 4, 13, 8, 15)",15,70,70,2060,DFBnB
"(1, 2, 12, 7, 5, 10, 3, 14, 6, 9, 11, 4, 13, 8, 15)",15,60,60,1056,DFBnB
"(1, 2, 12, 7, 5, 10, 3, 14, 6, 9, 11, 4, 13, 8, 15)",15,50,50,433,DFBnB
"(1, 2, 12, 7, 5, 10, 3, 14, 6, 9, 11, 4, 13, 8, 15)",15,40,40,1315,DFBnB
"(1, 2, 12, 7, 5, 10, 3, 14, 6, 9, 11, 4, 13, 8, 15)",15,30,30,1034,DFBnB
"(11, 10, 6, 13, 12, 9, 8, 2, 14, 7, 15, 1, 3, 5, 4)",15,0,12,14087,IDA*
"(11, 10, 6, 13, 12, 9, 8, 2, 14, 7, 15, 1, 3, 5, 4)",15,70,70,22109,DFBnB
"(11, 10, 6, 13, 12, 9, 8, 2, 14, 7, 15, 1, 3, 5, 4)",15,60,60,5168,DFBnB
"(11, 10, 6, 13, 12, 9, 8, 2, 14, 7, 15, 1, 3, 5, 4)",15,50,50,157137,DFBnB
"(11, 10, 6, 13, 12, 9, 8, 2, 14, 7, 15, 1, 3, 5, 4)",15,40,40,4905,DFBnB
"(11, 10, 6, 13, 12, 9, 8, 2, 14, 7, 15, 1, 3, 5, 4)",15,30,30,2137,DFBnB
"(15, 13, 11, 12, 7, 4, 1, 8, 14, 3, 6, 10, 2, 5, 9)",15,0,15,108666,IDA*
"(15, 13, 11, 12, 7, 4, 1, 8, 14, 3, 6, 10, 2, 5, 9)",15,70,70,59577,DFBnB
"(15, 13, 11, 12, 7, 4, 1, 8, 14, 3, 6, 10, 2, 5, 9)",15,60,60,48341,DFBnB
"(15, 13, 11, 12, 7, 4, 1, 8, 14, 3, 6, 10, 2, 5, 9)",15,50,50,88280,DFBnB
"(15, 13, 11, 12, 7, 4, 1, 8, 14, 3, 6, 10, 2, 5, 9)",15,40,40,32078,DFBnB
"(15, 13, 11, 12, 7, 4, 1, 8, 14, 3, 6, 10, 2, 5, 9)",15,30,30,144617,DFBnB
"(15, 6, 9, 4, 3, 1, 2, 13, 12, 5, 14, 8, 11, 10, 7)",15,0,12,56184,IDA*
